"","Survey","areacode","Item.group","FBS.share","NHS.share","NHS.share.original","NEW.FBS","FBS.kcal","NHS.kcal","NEW.FBS.kcal","Partial.FBS","Partial.NHS","Updated.partial.FBS ","FBS.is.updated","DIFFERENCE","Original.Protein","Protein.after.update","Original.Fat","Fat.after.update","Continent","Subregion","UN.population"
"283","Ethiopia_1999_2000",238,"Alcoholic Bev.",0.0042747221430607,0.0042747221430607,0.00610159596280635,0.0042747221430607,8,12,8,NA,NA,NA,FALSE,0,0.1,0.1,0,0,"Africa","Eastern Africa",65100000
"284","Ethiopia_1999_2000",238,"Meat & Offals",0.024223425477344,0.00384754558198092,0.00386520813712104,0.0223567439672707,42,8,39,0.0253504324485535,0.00402655456223413,0.0233969026487184,TRUE,0.00186668151007327,3.45,3.18413953299974,3,2.76881698521716,"Africa","Eastern Africa",65100000
"285","Ethiopia_1999_2000",238,"Eggs",0.000569962952408094,0.000569962952408094,1.61355386243136e-05,0.000569962952408094,1,0,1,NA,NA,NA,FALSE,0,0.1,0.1,0.1,0.1,"Africa","Eastern Africa",65100000
"286","Ethiopia_1999_2000",238,"Fish Products",0,0,8.25708861408477e-05,0,0,0,0,NA,NA,NA,FALSE,0,0.1,0,0,0,"Africa","Eastern Africa",65100000
"287","Ethiopia_1999_2000",238,"Milk",0.0136791108577942,0.00674603843965762,0.00677700682544514,0.0128977543382931,24,14,23,0.0143155383238891,0.007059901248064,0.0134978288019895,TRUE,0.000781356519501097,1.45,1.36717539501984,1.2,1.13145549932677,"Africa","Eastern Africa",65100000
"288","Ethiopia_1999_2000",238,"Veg. Oils",0.0151040182388145,0.0151040182388145,0.0123097454683385,0.0151040182388145,26,25,26,NA,NA,NA,FALSE,0,0,0,2.95,2.95,"Africa","Eastern Africa",65100000
"289","Ethiopia_1999_2000",238,"Animal Fats",0.00626959247648903,0.00626959247648903,0.00516905095587193,0.00626959247648903,11,11,11,NA,NA,NA,FALSE,0,0,0,1.25,1.25,"Africa","Eastern Africa",65100000
"290","Gabon_2005",74,"Grand Total",1.00002998254357,1.00002998254357,0,1.00002998254357,2724,2171,2724,NA,NA,NA,FALSE,0,82.2,84.3074853498081,57.2,56.7460563535877,"Africa","Middle Africa",1379000
"291","Gabon_2005",74,"Cereals",0.342930986480788,0.497297372109809,0.481062049483719,0.453718732585086,934,1045,1236,0.406742619016105,0.589833067106353,0.53814543702269,TRUE,-0.110787746104298,23.2,30.6950232290068,4.4,5.82146992274267,"Africa","Middle Africa",1379000
"292","Gabon_2005",74,"Starchy Roots",0.165374635149212,0.114095845670125,0.110370945904635,0.116424336207848,450,240,317,0.19614708169042,0.135326479426566,0.138088248928316,TRUE,0.0489502989413632,5.3,3.731219006741,0.7,0.492802510324283,"Africa","Middle Africa",1379000
"293","Gabon_2005",74,"Sugar Products",0.0586933896802993,0.0403368972951502,0.0390200141221227,0.0459558405004306,160,85,125,0.0696148903967161,0.0478426735862559,0.0545071739245668,TRUE,0.0127375491798686,0,0,0,0,"Africa","Middle Africa",1379000
"294","Gabon_2005",74,"Pulses",0.00221483879804869,0.00221483879804869,0.000995373556020632,0.00221483879804869,6,2,6,NA,NA,NA,FALSE,0,0.4,0.4,0,0,"Africa","Middle Africa",1379000
"295","Gabon_2005",74,"Oilcrops & Treenuts",0.0472499482023751,0.0472499482023751,0.036444813784855,0.0472499482023751,129,79,129,NA,NA,NA,FALSE,0,5.4,5.4,10.4,10.4,"Africa","Middle Africa",1379000
"296","Gabon_2005",74,"Vegetables",0.0132890181035641,0.0427494784289514,0.0413538314512757,0.0167331979250522,36,90,46,0.0157618011806551,0.050704181025468,0.0198468642871731,TRUE,-0.00344417982148808,1.7,2.14059731508376,0.3,0.377752467367722,"Africa","Middle Africa",1379000
"297","Gabon_2005",74,"Fruits",0.119601236355717,0.0167047413631985,0.0161593798136968,0.0754335661672899,326,35,205,0.141856297712,0.0198131126084014,0.0894700317969867,TRUE,0.0441676701884271,3,1.89212674883066,0.8,0.504567133021508,"Africa","Middle Africa",1379000
